"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///samples/getopt-test.cpp:109:28:109:31""]] flows to here and is used in arithmetic, potentially causing an overflow.
[[""User-provided value""|""relative:///samples/getopt-test.cpp:127:25:127:28""]] flows to here and is used in arithmetic, potentially causing an overflow.
[[""User-provided value""|""relative:///samples/metacopy.cpp:45:29:45:32""]] flows to here and is used in arithmetic, potentially causing an overflow.","/src/getopt.cpp","64","15","64","34"
"User-controlled data in arithmetic expression","Arithmetic operations on user-controlled data that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///samples/getopt-test.cpp:127:25:127:28""]] flows to here and is used in arithmetic, potentially causing an overflow.
[[""User-provided value""|""relative:///samples/metacopy.cpp:45:29:45:32""]] flows to here and is used in arithmetic, potentially causing an overflow.","/src/utils.cpp","89","52","89","54"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///samples/getopt-test.cpp:109:28:109:31""]] flows to here and is used in an expression which might overflow.","/samples/getopt-test.cpp","111","23","111","23"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///src/exiv2.cpp:935:34:935:37""]] flows to here and is used in an expression which might overflow.","/src/actions.cpp","1313","33","1313","49"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///samples/getopt-test.cpp:127:25:127:28""]] flows to here and is used in an expression which might overflow.
[[""User-provided value""|""relative:///samples/metacopy.cpp:45:29:45:32""]] flows to here and is used in an expression which might overflow.","/src/exiv2.cpp","816","51","816","53"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///samples/getopt-test.cpp:127:25:127:28""]] flows to here and is used in an expression which might overflow.
[[""User-provided value""|""relative:///samples/metacopy.cpp:45:29:45:32""]] flows to here and is used in an expression which might overflow.","/src/exiv2.cpp","526","59","526","61"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///src/exiv2.cpp:935:34:935:37""]] flows to here and is used in an expression which might overflow.","/src/types.cpp","286","22","286","39"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///src/exiv2.cpp:935:34:935:37""]] flows to here and is used in an expression which might overflow.","/src/types.cpp","286","43","286","60"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///src/exiv2.cpp:935:34:935:37""]] flows to here and is used in an expression which might overflow.","/src/types.cpp","287","22","287","39"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///src/exiv2.cpp:935:34:935:37""]] flows to here and is used in an expression which might overflow.","/src/types.cpp","290","22","290","39"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///src/exiv2.cpp:935:34:935:37""]] flows to here and is used in an expression which might overflow.","/src/types.cpp","290","43","290","60"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///src/exiv2.cpp:935:34:935:37""]] flows to here and is used in an expression which might overflow.","/src/types.cpp","291","22","291","39"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""User-provided value""|""relative:///samples/getopt-test.cpp:127:25:127:28""]] flows to here and is used in an expression which might overflow.
[[""User-provided value""|""relative:///samples/metacopy.cpp:45:29:45:32""]] flows to here and is used in an expression which might overflow.","/src/utils.cpp","89","52","89","56"
